City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
327,gizo,29.9870753,31.2118063,17.42,32,99,1.8,EG,1702247552
328,bovalino,38.148971,16.174004,15.19,75,8,6.79,IT,1702247553
329,port lincoln,-34.7211905,135.8592218,17.25,92,100,8.13,AU,1702247423
330,anadyr,64.7316875,177.5060925,-25.91,75,20,5.0,RU,1702247556
331,kristiansund,63.216819400000006,7.545258996501891,1.36,75,0,2.57,NO,1702247556
332,olyokminsk,60.373016,120.438751,-27.44,90,100,3.16,RU,1702247557
333,tuineje,28.3256078,-14.0460201,18.88,37,100,2.58,ES,1702247560
334,niquero,20.0484084,-77.579635,26.7,78,85,2.18,CU,1702247561
335,smithers,54.7792074,-127.1760991,-2.82,86,40,1.54,CA,1702247562
336,mili,37.55359,22.7168716,9.9,93,100,1.85,GR,1702247563
337,pisco,-13.7099813,-76.2029793,22.94,64,0,4.63,PE,1702247565
338,junin de los andes,-39.9508525,-71.0708566,25.37,35,97,3.98,AR,1702247566
339,pacific grove,36.6211149,-121.917794,20.08,55,0,6.71,US,1702247164
340,ostersund,63.1793655,14.6357061,-3.75,86,100,6.17,SE,1702247568
341,yelizovo,53.1864972,158.3836712,2.08,93,100,8.05,RU,1702247059
342,kharp,66.815163,65.8009163,-26.78,100,98,1.62,RU,1702247570
343,mbanza-ngungu,-5.2500086,14.8666614,20.34,98,100,1.21,CD,1702247571
